509.0, 271.0, 67.0, 341.0
509.0, 270.0, 67.0, 344.0
510.0, 269.0, 65.0, 342.0
510.0, 270.0, 65.0, 344.0
509.0, 270.0, 66.0, 342.0
509.0, 271.0, 70.0, 343.0
508.0, 272.0, 67.0, 340.0
509.0, 272.0, 69.0, 342.0
508.0, 273.0, 68.0, 340.0
509.0, 273.0, 67.0, 340.0
509.0, 273.0, 68.0, 340.0
509.0, 273.0, 67.0, 341.0
508.0, 274.0, 68.0, 342.0
506.0, 276.0, 69.0, 340.0
506.0, 277.0, 69.0, 339.0
506.0, 277.0, 69.0, 339.0
506.0, 278.0, 69.0, 337.0
506.0, 278.0, 70.0, 338.0
505.0, 278.0, 71.0, 338.0
505.0, 278.0, 71.0, 338.0
504.0, 277.0, 72.0, 339.0
504.0, 277.0, 72.0, 339.0
504.0, 277.0, 72.0, 339.0
504.0, 277.0, 72.0, 339.0
505.0, 276.0, 71.0, 340.0
505.0, 277.0, 71.0, 339.0
505.0, 276.0, 72.0, 340.0
506.0, 276.0, 71.0, 340.0
506.0, 276.0, 71.0, 340.0
506.0, 276.0, 71.0, 340.0
507.0, 276.0, 71.0, 338.0
509.0, 277.0, 69.0, 338.0
514.0, 276.0, 67.0, 336.0
516.0, 278.0, 68.0, 335.0
521.0, 278.0, 68.0, 340.0
526.0, 280.0, 68.0, 337.0
530.0, 283.0, 73.0, 338.0
534.0, 283.0, 80.0, 335.0
530.0, 284.0, 99.0, 335.0
531.0, 285.0, 131.0, 333.0
534.0, 285.0, 160.0, 327.0
536.0, 282.0, 170.0, 322.0
542.0, 279.0, 178.0, 328.0
558.0, 272.0, 165.0, 326.0
590.0, 262.0, 134.0, 330.0
632.0, 261.0, 109.0, 332.0
681.0, 259.0, 102.0, 336.0
680.0, 262.0, 134.0, 328.0
683.0, 265.0, 184.0, 318.0
683.0, 267.0, 208.0, 314.0
695.0, 266.0, 202.0, 314.0
751.0, 264.0, 144.0, 310.0
769.0, 260.0, 135.0, 314.0
842.0, 255.0, 105.0, 320.0
835.0, 253.0, 145.0, 320.0
842.0, 255.0, 164.0, 318.0
850.0, 256.0, 175.0, 319.0
859.0, 253.0, 175.0, 320.0
888.0, 250.0, 151.0, 316.0
926.0, 244.0, 129.0, 301.0
